Data Class,Threat Level
Account balances,8
Address book contacts,3
Age groups,1
Ages,1
Appointments,2
Apps installed on devices,2
Astrological signs,0
Audio recordings,2
Auth tokens,7
Avatars,0
Bank account numbers,10
Beauty ratings,0
Biometric data,8
Bios,0
Browser user agent details,1
Browsing histories,3
Buying preferences,1
Car ownership statuses,2
Career levels,1
Cellular network names,1
Charitable donations,2
Chat logs,4
Credit card CVV,10
Credit cards,10
Credit status information,4
Customer feedback,1
Customer interactions,2
Dates of birth,4
Deceased date,1
Deceased statuses,1
Delivery instructions,3
Device information,3
Device serial numbers,4
Device usage tracking data,2
Drinking habits,1
Driver's licenses,9
Drug habits,2
Eating habits,1
Education levels,1
Email addresses,5
Email messages,4
Employers,2
Employment statuses,1
Encrypted keys,9
Ethnicities,1
Family members' names,2
Family plans,2
Family structure,2
Financial investments,6
Financial transactions,6
Fitness levels,1
Flights taken,3
Genders,0
Geographic locations,3
Government issued IDs,9
Health insurance information,7
Historical passwords,7
HIV statuses,3
Home ownership statuses,2
Homepage URLs,1
IMEI numbers,4
IMSI numbers,4
Income levels,3
Instant messenger identities,3
IP addresses,4
Job applications,2
Job titles,1
Licence plates,5
Living costs,2
Loan information,6
Login histories,5
MAC addresses,4
Marital statuses,1
Mnemonic phrases,9
Mothers maiden names,5
Names,0
Nationalities,1
Net worths,3
Nicknames,1
Occupations,1
Parenting plans,2
Partial credit card data,9
Partial dates of birth,3
Partial phone numbers,3
Passport numbers,9
Password hints,6
Password strengths,5
Passwords,9
Payment histories,6
Payment methods,5
Personal descriptions,1
Personal health data,7
Personal interests,1
Phone numbers,4
Photos,0
Physical addresses,4
Physical attributes,1
PINs,9
Places of birth,3
Political donations,3
Political views,1
Private messages,4
Professional skills,1
Profile photos,0
Purchases,3
Purchasing habits,1
Races,1
Recovery email addresses,5
Relationship statuses,1
Religions,1
Reward program balances,2
Salutations,0
School grades (class levels),1
Security questions and answers,7
Sexual fetishes,1
Sexual orientations,1
Smoking habits,1
SMS messages,4
Social connections,2
Social media profiles,2
Social security numbers,10
Spoken languages,0
Spouses names,2
Support tickets,3
Survey results,1
Taxation records,5
Time zones,1
Travel habits,2
User statuses,1
User website URLs,1
Usernames,4
Utility bills,5
Vehicle details,3
Vehicle identification numbers (VINs),7
Website activity,2
Work habits,1
Years of professional experience,1
